what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1370794480770
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1370794480770
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1370794480770
os,sysinfo,,,"win32",1370794480770
arch,sysinfo,,,"x86_64",1370794480770
ws,sysinfo,,,"win32",1370794480770
locale,sysinfo,,,"pt_BR",1370794480770
processors,sysinfo,,,"4",1370794480770
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370794480770
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1370794480770
java.specification.name,sysinfo,,,"Java Platform API Specification",1370794480770
java.specification.vendor,sysinfo,,,"Oracle Corporation",1370794480770
java.specification.version,sysinfo,,,"1.7",1370794480770
java.vendor,sysinfo,,,"Oracle Corporation",1370794480770
java.version,sysinfo,,,"1.7.0_21",1370794480770
java.vm.info,sysinfo,,,"mixed mode",1370794480770
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1370794480770
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370794480770
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370794480770
java.vm.specification.version,sysinfo,,,"1.7",1370794480770
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370794480770
java.vm.version,sysinfo,,,"23.21-b01",1370794480770
started,bundle,org.eclipse.amalgam.discovery.modeling,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.modeling",1370794996694
started,bundle,org.eclipse.amalgam.discovery.ui,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.ui",1370794996694
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1370794996709
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1370794996741
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1370794996756
started,bundle,org.eclipse.amalgam.discovery.core,1.2.0.v20110608-1648,"org.eclipse.amalgam.discovery.core",1370794996772
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1370794996787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370794997755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370795040109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370795045616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370795047488
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370795047612
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1370795047773
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1370795047773
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1370795047863
stopped,bundle,org.eclipse.emf.eef.codegen.ecore,1.0.2.v20120216-1513,"org.eclipse.emf.eef.codegen.ecore",1370795047863
