what,kind,bundleId,bundleVersion,description,time
stopped,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735142102
unresolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735142103
uninstalled,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735142103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735142764
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372735142778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735145665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735151219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735152461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735176159
activated,editor,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1372735177896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735277004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735278186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1372735284171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372735287489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372735293623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372735338770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372735344361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372735346449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372735356243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372735396722
installed,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735398549
resolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735398955
started,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735398957
stopped,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735402001
unresolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735402001
uninstalled,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735402002
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372735402835
activated,editor,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1372735405780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372735413012
installed,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735416199
resolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735416605
started,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735416607
stopped,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735419872
unresolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735419872
uninstalled,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735419873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735419999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372735421825
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372735421836
activated,editor,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1372735427197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372735436232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372735455867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372735488795
installed,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372735490210
