what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1372736985696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372736989062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1372736991318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372736992726
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1372736996757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372736999669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737001507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737001546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372737001552
installed,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737002842
resolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737003245
started,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737003247
stopped,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737006422
unresolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737006423
uninstalled,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737006423
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372737007666
activated,editor,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1372737018256
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1372737037156
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1372737042069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737043650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737048424
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1372737050883
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1372737055417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737062867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737064995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737068008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737086435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737089978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737100030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737102046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372737102071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1372737102078
installed,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737104858
resolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737105269
started,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737105271
stopped,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737108536
unresolved,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1372737108537
