what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1370801807163
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1370801807164
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1370801807165
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1370801807165
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1370801807166
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1370801807167
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1370801807168
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1370801807168
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1370801807169
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1370801807193
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1370801807193
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1370801807194
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1370801807195
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1370801807196
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1370801807197
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1370801807197
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1370801807198
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1370801807199
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1370801807199
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1370801807200
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1370801807201
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1370801807201
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1370801807202
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1370801807204
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1370801807205
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1370801807205
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1370801807206
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1370801807207
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1370801807207
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1370801807207
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1370801807208
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1370801807209
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1370801807209
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1370801807210
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1370801807211
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1370801807211
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1370801807212
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1370801807214
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1370801807214
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1370801807215
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1370801807215
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1370801807216
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1370801807216
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1370801807217
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1370801807218
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1370801807218
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1370801807219
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1370801807219
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1370801807220
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1370801807220
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1370801807220
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1370801807221
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1370801807221
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1370801807222
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1370801807222
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1370801807223
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1370801807223
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1370801807224
os,sysinfo,,,"win32",1370801807226
arch,sysinfo,,,"x86_64",1370801807226
ws,sysinfo,,,"win32",1370801807226
locale,sysinfo,,,"pt_BR",1370801807226
processors,sysinfo,,,"4",1370801807226
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1370801807226
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1370801807226
java.specification.name,sysinfo,,,"Java Platform API Specification",1370801807226
java.specification.vendor,sysinfo,,,"Oracle Corporation",1370801807226
java.specification.version,sysinfo,,,"1.7",1370801807226
java.vendor,sysinfo,,,"Oracle Corporation",1370801807226
java.version,sysinfo,,,"1.7.0_21",1370801807226
java.vm.info,sysinfo,,,"mixed mode",1370801807226
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1370801807226
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1370801807226
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1370801807226
java.vm.specification.version,sysinfo,,,"1.7",1370801807226
java.vm.vendor,sysinfo,,,"Oracle Corporation",1370801807226
java.vm.version,sysinfo,,,"23.21-b01",1370801807226
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370802151050
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370802151070
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1370802151088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802159369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802169687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802172267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802181114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802181121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802181121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802184275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802246591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802251671
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1370802264290
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1370802264613
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1370802264633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802265388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802265394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802265394
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1370802265418
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1370802265960
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1370802266598
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1370802266765
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1370802266776
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1370802267153
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1370802273086
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1370802273341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802273684
started,bundle,org.eclipse.acceleo.common,3.2.2.v20120807-0831,"org.eclipse.acceleo.common",1370802275004
started,bundle,org.eclipse.acceleo.engine,3.2.2.v20120807-0831,"org.eclipse.acceleo.engine",1370802275049
started,bundle,org.eclipse.acceleo.traceability,3.2.2.v20120807-0831,"org.eclipse.acceleo.traceability",1370802275053
started,bundle,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui",1370802275057
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1370802275103
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1370802275393
started,bundle,org.eclipse.acceleo.parser,3.2.2.v20120807-0831,"org.eclipse.acceleo.parser",1370802275411
started,bundle,org.eclipse.ocl,3.1.0.v20120206-0606,"org.eclipse.ocl",1370802275432
started,bundle,org.eclipse.acceleo.model,3.2.2.v20120807-0831,"org.eclipse.acceleo.model",1370802275432
started,bundle,org.eclipse.ocl.ecore,3.1.2.v20111015-2027,"org.eclipse.ocl.ecore",1370802275449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802275476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1370802275482
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1370802275527
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1370802276493
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1370802277330
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1370802277350
started,bundle,br.cefet.rj.mda.gedbm.editor,1.0.0,"br.cefet.rj.mda.gedbm.editor",1370802277351
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1370802277382
started,bundle,br.cefet.rj.mda.gedbm,1.0.0,"br.cefet.rj.mda.gedbm",1370802277431
started,bundle,br.cefet.rj.mda.gedbm.edit,1.0.0,"br.cefet.rj.mda.gedbm.edit",1370802277431
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1370802277510
opened,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1370802277777
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1370802277819
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370802288607
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1370802288928
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1370802288932
started,bundle,br.cefet.rj.mda.projectdbm.rules.ui,1.0.0,"br.cefet.rj.mda.projectdbm.rules.ui",1370802292251
started,bundle,br.cefet.rj.mda.projectdbm.rules,1.0.0,"br.cefet.rj.mda.projectdbm.rules",1370802292314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802293110
started,bundle,org.eclipse.acceleo.common.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.common.ui",1370802295784
started,bundle,org.eclipse.emf.eef.mapping,1.0.2.v20120216-1513,"org.eclipse.emf.eef.mapping",1370802296211
started,bundle,org.eclipse.emf.eef.views,1.0.2.v20120216-1513,"org.eclipse.emf.eef.views",1370802296217
started,bundle,org.eclipse.emf.eef.components,1.0.2.v20120216-1513,"org.eclipse.emf.eef.components",1370802296235
started,bundle,org.eclipse.emf.codegen.ecore,2.7.0.v20120130-0943,"org.eclipse.emf.codegen.ecore",1370802296241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802298413
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1370802305357
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1370802305441
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1370802335738
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1370802335739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802338543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802480569
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1370802484776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802491309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802545630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802545637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1370802545637
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1370802549704
started,bundle,org.eclipse.emf.codegen,2.6.0.v20120130-0943,"org.eclipse.emf.codegen",1370802553153
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1370802554763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1370802578423
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1370802578568
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1370802578788
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1370802578931
started,bundle,org.eclipse.xtext.ui,2.0.1.v201108020636,"org.eclipse.xtext.ui",1370802578975
started,bundle,org.eclipse.xtext,2.0.1.v201108020636,"org.eclipse.xtext",1370802579021
started,bundle,org.eclipse.ocl.examples.pivot,3.1.2.v20111015-1954,"org.eclipse.ocl.examples.pivot",1370802579064
started,bundle,org.eclipse.ocl.examples.xtext.base,3.1.1.v20120203-1924,"org.eclipse.ocl.examples.xtext.base",1370802579094
started,bundle,org.eclipse.ocl.examples.common,3.1.2.v20111015-2027,"org.eclipse.ocl.examples.common",1370802579219
started,bundle,org.eclipse.ocl.examples.xtext.essentialocl,3.1.0.v20110826-0707,"org.eclipse.ocl.examples.xtext.essentialocl",1370802579273
started,bundle,org.eclipse.xtext.common.types,2.0.1.v201108020636,"org.eclipse.xtext.common.types",1370802579292
started,bundle,org.eclipse.ocl.examples.xtext.oclstdlib,3.1.0.v20110826-0707,"org.eclipse.ocl.examples.xtext.oclstdlib",1370802579315
started,bundle,org.eclipse.xtext.builder,2.0.1.v201108020636,"org.eclipse.xtext.builder",1370802579467
started,bundle,org.eclipse.xtext.common.types.ui,2.0.1.v201108020636,"org.eclipse.xtext.common.types.ui",1370802579535
started,bundle,org.eclipse.xtext.ui.shared,2.0.1.v201108020636,"org.eclipse.xtext.ui.shared",1370802579836
